"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"141","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ArraysUnitTest.java","3","16","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"142","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ArraysUnitTest.java","3","18","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"143","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"144","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"145","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","3","14","Document empty method","Design Rules","UncommentedEmptyMethod"
"146","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","3","18","Document empty method","Design Rules","UncommentedEmptyMethod"
"147","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","3","23","Local variable 'raw' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"148","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","3","24","Avoid variables with short names like is","Naming Rules","ShortVariable"
"149","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","3","24","Local variable 'is' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"150","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ByteArrayInputStreamUnitTest.java","3","27","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"151","ie.ucd.sensetile","test/src/ie/ucd/sensetile/AllAcceptanceTests.java","3","10","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"152","ie.ucd.sensetile","test/src/ie/ucd/sensetile/AllAcceptanceTests.java","3","12","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"153","ie.ucd.sensetile","test/src/ie/ucd/sensetile/AllUnitTests.java","3","12","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"154","ie.ucd.sensetile","test/src/ie/ucd/sensetile/AllUnitTests.java","3","14","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"155","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/AllAcceptanceTests.java","3","11","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"156","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/AllAcceptanceTests.java","3","13","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"157","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/AllUnitTests.java","3","10","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"158","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/AllUnitTests.java","3","12","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"159","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/BoardCommunicationAcceptanceTest.java","3","8","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"160","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/BoardCommunicationAcceptanceTest.java","3","8","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"161","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/BoardCommunicationAcceptanceTest.java","3","8","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"162","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/BoardCommunicationAcceptanceTest.java","3","9","Local variable 'driver' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"163","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/BoardCommunicationAcceptanceTest.java","3","11","Avoid variables with short names like in","Naming Rules","ShortVariable"
"164","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/BoardCommunicationAcceptanceTest.java","3","11","Local variable 'in' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"165","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/BoardCommunicationAcceptanceTest.java","3","16","Local variable 'available' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"166","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","4","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"167","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"168","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","17","Perhaps 'context' could be replaced by a local variable.","Design Rules","SingularField"
"169","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"170","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","19","Avoid unused private fields such as 'driver'.","Unused Code Rules","UnusedPrivateField"
"171","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"172","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","19","Perhaps 'driver' could be replaced by a local variable.","Design Rules","SingularField"
"173","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","28","Non-static initializers are confusing","Design Rules","NonStaticInitializer"
"174","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","35","Document empty method","Design Rules","UncommentedEmptyMethod"
"175","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/DriverUnitTest.java","3","39","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"176","ie.ucd.sensetile.sensorboard","test/src/ie/ucd/sensetile/sensorboard/InputStreamAcceptanceTest.java","3","6","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"177","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/AllUnitTests.java","3","3","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"178","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/AllUnitTests.java","3","4","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"179","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/AllUnitTests.java","3","14","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"180","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/AllUnitTests.java","3","16","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"181","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"182","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","15","Perhaps 'rawPacket' could be replaced by a local variable.","Design Rules","SingularField"
"183","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"184","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"185","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","28","Local variable 'packetIndex' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"186","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","34","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"187","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","37","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"188","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","42","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"189","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","47","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"190","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","47","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"191","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","52","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"192","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","52","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"193","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","57","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"194","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","5","58","Found 'DD'-anomaly for variable 'rawPacket' (lines '58'-'60').","Controversial Rules","DataflowAnomalyAnalysis"
"195","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","59","System.arraycopy is more efficient","Optimization Rules","AvoidArrayLoops"
"196","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","5","60","Found 'DD'-anomaly for variable 'rawPacket' (lines '60'-'60').","Controversial Rules","DataflowAnomalyAnalysis"
"197","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","66","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"198","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","5","67","Found 'DD'-anomaly for variable 'rawPacket' (lines '67'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"199","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","5","69","Found 'DD'-anomaly for variable 'rawPacket' (lines '69'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"200","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","76","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"201","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","82","Local variable 'value' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"202","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacketUnitTest.java","3","84","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"203","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","10","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"204","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","11","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"205","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","24","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"206","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","40","Local variable 'index' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"207","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","59","Avoid variables with short names like is","Naming Rules","ShortVariable"
"208","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","59","Local variable 'is' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"209","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","60","Local variable 'pis' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"210","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","61","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"211","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","62","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"212","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","67","Avoid variables with short names like is","Naming Rules","ShortVariable"
"213","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","67","Local variable 'is' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"214","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","68","Local variable 'pis' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"215","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","69","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"216","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","74","Avoid variables with short names like is","Naming Rules","ShortVariable"
"217","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","76","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"218","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","82","Avoid variables with short names like is","Naming Rules","ShortVariable"
"219","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","84","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"220","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","90","Avoid variables with short names like is","Naming Rules","ShortVariable"
"221","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","157","Parameter 'length' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"222","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","161","Parameter 'length' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"223","ie.ucd.sensetile.sensorboard.driver","test/src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStreamUnitTest.java","3","161","Parameter 'offset' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"224","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/AllUnitTests.java","3","11","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"225","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/AllUnitTests.java","3","13","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"226","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"227","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"228","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","4","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"229","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","10","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"230","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","13","Document empty method","Design Rules","UncommentedEmptyMethod"
"231","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","17","Document empty method","Design Rules","UncommentedEmptyMethod"
"232","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","22","Local variable 'dataPattern' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"233","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","23","Local variable 'pattern' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"234","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","24","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"235","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","29","Local variable 'dataPattern' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"236","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","35","Local variable 'dataPattern' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"237","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","41","Local variable 'dataPattern' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"238","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","45","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"239","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","54","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"240","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","56","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"241","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","64","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"242","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/BytePatternUnitTest.java","3","145","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"243","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"244","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"245","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","4","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"246","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","10","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"247","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","12","Avoid variables with short names like ba","Naming Rules","ShortVariable"
"248","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"249","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","12","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"250","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","20","Document empty method","Design Rules","UncommentedEmptyMethod"
"251","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","24","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"252","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","35","Local variable 'uba' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"253","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","41","Avoid variables with short names like ba","Naming Rules","ShortVariable"
"254","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","41","Local variable 'ba' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"255","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","42","Local variable 'uba' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"256","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","52","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"257","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","53","Local variable 'uba' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"258","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","54","Local variable 'offset' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"259","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","60","JUnit tests should include assert() or fail()","JUnit Rules","JUnitTestsShouldIncludeAssert"
"260","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","72","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"261","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","81","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"262","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","90","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"263","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","99","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"264","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","109","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"265","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","143","Avoid variables with short names like ba","Naming Rules","ShortVariable"
"266","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","5","145","Found 'DD'-anomaly for variable 'ba' (lines '145'-'147').","Controversial Rules","DataflowAnomalyAnalysis"
"267","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","5","147","Found 'DD'-anomaly for variable 'ba' (lines '147'-'148').","Controversial Rules","DataflowAnomalyAnalysis"
"268","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","5","148","Found 'DU'-anomaly for variable 'ba' (lines '148'-'150').","Controversial Rules","DataflowAnomalyAnalysis"
"269","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","154","Avoid variables with short names like ba","Naming Rules","ShortVariable"
"270","ie.ucd.sensetile.util","test/src/ie/ucd/sensetile/util/UnsignedByteArrayUnitTest.java","3","166","Avoid variables with short names like ba","Naming Rules","ShortVariable"
